,arts_entertainment,building,education,event,food,nightlife,parks_outdoors,shops,travel,Favourite
Fulwell,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.0
Gallows Corner,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.4444444444444444,0.0,0.0
Gants Hill,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0.2,0.1,0.0
Gidea Park,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gipsy Hill,0.0,0.0,0.0,0.0,0.8333333333333334,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.04166666666666666,0.0
Goddington,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0
Golders Green,0.0,0.0,0.0,0.0,0.7352941176470589,0.029411764705882356,0.0,0.17647058823529413,0.05882352941176471,1.0
Goodmayes,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
Gospel Oak,0.1,0.1,0.0,0.0,0.45,0.05,0.1,0.15,0.05,1.0
Grahame Park,0.2307692307692308,0.07692307692307693,0.0,0.0,0.3076923076923077,0.07692307692307693,0.07692307692307693,0.2307692307692308,0.0,1.0
Grange Park,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0
Greenford,0.14285714285714285,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0
Greenwich,0.1568627450980392,0.00980392156862745,0.00980392156862745,0.0,0.3431372549019608,0.1176470588235294,0.14705882352941174,0.08823529411764706,0.12745098039215685,1.0
Grove Park,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0
Gunnersbury,0.0,0.047619047619047616,0.0,0.0,0.4761904761904762,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.0
Hackney,0.06666666666666668,0.0,0.0,0.0,0.4,0.2333333333333333,0.06666666666666668,0.2333333333333333,0.0,0.0
Hackney Central,0.06666666666666668,0.03333333333333333,0.0,0.0,0.5333333333333333,0.13333333333333333,0.05,0.13333333333333333,0.05,0.0
Hackney Marshes,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0
Hackney Wick,0.1724137931034483,0.03448275862068965,0.0,0.0,0.4137931034482759,0.2413793103448276,0.03448275862068965,0.06896551724137931,0.03448275862068965,0.0
Hadley Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0
Haggerston,0.07692307692307693,0.02564102564102564,0.0,0.0,0.4615384615384616,0.2307692307692308,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.0
Hainault,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.2,0.0
Ham,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0
Hammersmith,0.02247191011235955,0.0449438202247191,0.0,0.0,0.5280898876404494,0.1348314606741573,0.033707865168539325,0.15730337078651685,0.07865168539325842,1.0
Hampstead,0.0625,0.02083333333333333,0.0,0.0,0.6875,0.08333333333333333,0.0,0.125,0.02083333333333333,1.0
Hampstead Garden Suburb,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0
Hampton,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0
Hampton Hill,0.0,0.0,0.0,0.0,0.43478260869565216,0.13043478260869565,0.17391304347826084,0.17391304347826084,0.08695652173913042,0.0
Hampton Wick,0.0,0.05263157894736842,0.0,0.0,0.42105263157894735,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.0
Hanwell,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
Hanworth,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0
Harefield,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Harlesden,0.0,0.0,0.0,0.0,0.4,0.05,0.05,0.3,0.2,0.0
Harlington,0.0,0.05555555555555555,0.0,0.0,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.0
Harmondsworth,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
Harold Hill,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0
Harold Park,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Harold Wood,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.0
Harringay,0.0,0.027027027027027032,0.0,0.0,0.7297297297297297,0.10810810810810813,0.0,0.10810810810810813,0.027027027027027032,0.0
Harrow,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0
Harrow Weald,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0
Harrow on the Hill,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
Hatch End,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0
Hatton,0.0,0.1,0.0,0.0,0.2,0.2,0.0,0.2,0.3,0.0
Havering-atte-Bower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hayes,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0
Hazelwood,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Hendon,0.0,0.05555555555555555,0.0,0.0,0.5555555555555556,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.16666666666666666,1.0
Herne Hill,0.09090909090909093,0.09090909090909093,0.0,0.0,0.3636363636363637,0.0,0.0,0.3636363636363637,0.09090909090909093,0.0
Heston,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0
Highams Park,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0
Highbury,0.0,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.0
Highgate,0.14814814814814814,0.0,0.0,0.0,0.5185185185185185,0.2222222222222222,0.07407407407407407,0.0,0.037037037037037035,1.0
Hillingdon,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0
Hither Green,0.0,0.07407407407407407,0.0,0.0,0.4444444444444444,0.0,0.037037037037037035,0.1851851851851852,0.25925925925925924,0.0
Holborn,0.13,0.06,0.0,0.0,0.51,0.08,0.05,0.12,0.05,1.0
Holland Park,0.03125,0.0625,0.0,0.0,0.34375,0.125,0.125,0.25,0.0625,1.0
Holloway,0.0,0.03773584905660377,0.0,0.0,0.5283018867924528,0.16981132075471694,0.03773584905660377,0.18867924528301888,0.03773584905660377,0.0
Homerton,0.1176470588235294,0.0,0.0,0.0,0.4705882352941176,0.1176470588235294,0.029411764705882356,0.2647058823529412,0.0,0.0
Honor Oak,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0
Hook,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0
Horn Park,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0
Hornchurch,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.4,0.0
Hornsey,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.2,0.0,0.0
Hounslow,0.0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.0,0.38461538461538464,0.15384615384615385,0.0
Hoxton,0.028571428571428567,0.028571428571428567,0.0,0.0,0.5142857142857142,0.14285714285714285,0.057142857142857134,0.2,0.028571428571428567,0.0
Ickenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Ilford,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
Isle of Dogs,0.0625,0.0,0.0,0.0,0.25,0.0625,0.375,0.0625,0.1875,0.0
Isleworth,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0
Islington,0.08064516129032258,0.016129032258064516,0.0,0.0,0.532258064516129,0.1774193548387097,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.0
Kenley,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0
Kennington,0.12121212121212123,0.030303030303030307,0.0,0.0,0.3333333333333333,0.21212121212121213,0.09090909090909093,0.12121212121212123,0.09090909090909093,1.0
Kensal Green,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0
Kensington,0.02531645569620253,0.0379746835443038,0.0,0.0,0.6455696202531646,0.08860759493670886,0.02531645569620253,0.12658227848101267,0.05063291139240506,1.0
Kentish Town,0.016129032258064516,0.03225806451612903,0.0,0.0,0.4516129032258064,0.1935483870967742,0.06451612903225806,0.2258064516129032,0.016129032258064516,1.0
Kenton,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
Keston,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
Kew,0.125,0.0,0.0,0.0,0.25,0.25,0.375,0.0,0.0,0.0
Kidbrooke,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.0
Kilburn,0.037037037037037035,0.1111111111111111,0.0,0.0,0.4814814814814815,0.14814814814814814,0.07407407407407407,0.14814814814814814,0.0,1.0
Kings Cross,0.05952380952380953,0.011904761904761904,0.0,0.0,0.5714285714285714,0.08333333333333333,0.03571428571428571,0.11904761904761905,0.11904761904761905,1.0
Kingsbury,0.0,0.125,0.0,0.0,0.375,0.125,0.125,0.25,0.0,0.0
Kingston Vale,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
Kingston upon Thames,0.023809523809523808,0.023809523809523808,0.0,0.0,0.5,0.09523809523809523,0.011904761904761904,0.32142857142857145,0.023809523809523808,0.0
Knightsbridge,0.01,0.0,0.0,0.0,0.51,0.02,0.01,0.34,0.11,0.0
Ladywell,0.0,0.0,0.0,0.0,0.3076923076923077,0.2307692307692308,0.15384615384615385,0.3076923076923077,0.0,0.0
Lambeth,0.07894736842105263,0.05263157894736842,0.0,0.0,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.13157894736842105,1.0
Lamorbey,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0
Lampton,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.2,0.0
Lea Bridge,0.0,0.0,0.0,0.0,0.0,0.125,0.625,0.25,0.0,0.0
Leamouth,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0
Leaves Green,0.0,0.0,0.0,0.0,0.0,0.5,0.16666666666666666,0.0,0.3333333333333333,0.0
Lee,0.0,0.0,0.0,0.0,0.5384615384615384,0.15384615384615385,0.0,0.2307692307692308,0.07692307692307693,0.0
Lessness Heath,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.0
Lewisham,0.0,0.03125,0.0,0.0,0.40625,0.09375,0.0,0.375,0.09375,0.0
Leyton,0.05555555555555555,0.05555555555555555,0.0,0.0,0.3333333333333333,0.1111111111111111,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.0
Leytonstone,0.027777777777777776,0.0,0.0,0.0,0.4722222222222222,0.16666666666666666,0.027777777777777776,0.25,0.05555555555555555,0.0
Limehouse,0.2352941176470588,0.0,0.0,0.0,0.29411764705882354,0.0,0.2352941176470588,0.17647058823529413,0.05882352941176471,0.0
Lisson Grove,0.06666666666666668,0.022222222222222227,0.0,0.0,0.5111111111111111,0.08888888888888889,0.022222222222222227,0.2222222222222222,0.06666666666666668,0.0
Little Ilford,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0
Little Venice,0.027777777777777776,0.05555555555555555,0.0,0.0,0.5555555555555556,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.027777777777777776,0.0
Locksbottom,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
Longford,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0
Longlands,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Lower Clapton,0.0625,0.0,0.0,0.0,0.4375,0.1875,0.09375,0.15625,0.0625,0.0
Lower Morden,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
Loxford,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0
Maida Vale,0.07142857142857142,0.07142857142857142,0.0,0.0,0.6428571428571429,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0
Malden Rushett,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Manor House,0.0,0.13043478260869565,0.0,0.0,0.17391304347826084,0.043478260869565216,0.21739130434782608,0.3478260869565217,0.08695652173913042,0.0
Manor Park,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0
Marks Gate,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Maryland,0.1076923076923077,0.015384615384615384,0.0,0.0,0.4,0.09230769230769233,0.0,0.3384615384615385,0.04615384615384616,0.0
Marylebone (also St Marylebone),0.09278350515463918,0.030927835051546393,0.0,0.0,0.6185567010309279,0.05154639175257732,0.05154639175257732,0.13402061855670105,0.020618556701030927,0.0
Mayfair,0.1,0.02,0.0,0.0,0.35,0.11,0.04,0.28,0.1,1.0
Maze Hill,0.037037037037037035,0.0,0.0,0.0,0.3333333333333333,0.14814814814814814,0.2962962962962963,0.1111111111111111,0.07407407407407407,0.0
Merton Park,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0
Middle Park,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mile End,0.027027027027027032,0.0,0.0,0.0,0.5135135135135135,0.16216216216216214,0.08108108108108109,0.054054054054054064,0.16216216216216214,0.0
Mill Hill,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0
Millbank,0.12195121951219512,0.0,0.0,0.0,0.4878048780487805,0.14634146341463414,0.14634146341463414,0.04878048780487805,0.04878048780487805,0.0
Millwall,0.0,0.0,0.0,0.0,0.3,0.2,0.3,0.0,0.2,0.0
Mitcham,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0
Monken Hadley,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0
Morden,0.0,0.0,0.0,0.0,0.5714285714285714,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.0
Morden Park,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.4,0.0
Mortlake,0.0,0.0,0.0,0.0,0.55,0.15,0.1,0.2,0.0,0.0
Motspur Park,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0
Mottingham,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0
Nag's Head,0.0,0.03773584905660377,0.0,0.0,0.5283018867924528,0.16981132075471694,0.03773584905660377,0.18867924528301888,0.03773584905660377,0.0
Neasden,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0
New Addington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0
New Barnet,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,1.0
New Cross,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.5555555555555556,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,0.0
New Eltham,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.0
New Malden,0.0,0.027027027027027032,0.0,0.0,0.5945945945945946,0.027027027027027032,0.054054054054054064,0.2702702702702703,0.027027027027027032,0.0
New Southgate,0.0,0.09090909090909093,0.0,0.0,0.2727272727272727,0.0,0.0,0.6363636363636364,0.0,1.0
Newbury Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0
Newington,0.04166666666666666,0.04166666666666666,0.0,0.0,0.2916666666666667,0.4166666666666667,0.16666666666666666,0.0,0.04166666666666666,1.0
Nine Elms,0.05882352941176471,0.1176470588235294,0.0,0.0,0.29411764705882354,0.17647058823529413,0.0,0.2352941176470588,0.1176470588235294,0.0
Noak Hill,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Norbiton,0.0,0.0,0.0,0.0,0.7333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0
Norbury,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0
North Cray,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
North Finchley,0.03225806451612903,0.0,0.0,0.0,0.4838709677419355,0.06451612903225806,0.0,0.3225806451612903,0.0967741935483871,1.0
North Harrow,0.0,0.25,0.0,0.0,0.375,0.0,0.125,0.125,0.125,0.0
North Kensington,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0
North Sheen,0.0,0.2307692307692308,0.0,0.0,0.2307692307692308,0.0,0.0,0.5384615384615384,0.0,0.0
North Woolwich,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0
Northolt,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0
Northumberland Heath,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
Northwood,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Norwood Green,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855,0.0
Notting Hill,0.016666666666666666,0.0,0.0,0.0,0.5166666666666667,0.11666666666666667,0.016666666666666666,0.26666666666666666,0.06666666666666668,1.0
Nunhead,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,1.0
Oakleigh Park,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,1.0
Old Coulsdon,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Old Ford,0.1176470588235294,0.1176470588235294,0.0,0.0,0.35294117647058826,0.1176470588235294,0.17647058823529413,0.05882352941176471,0.05882352941176471,0.0
Old Malden,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0
Old Oak Common,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,1.0
Orpington,0.05882352941176471,0.05882352941176471,0.0,0.0,0.5882352941176471,0.0,0.0,0.2352941176470588,0.05882352941176471,0.0
Osidge,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0
Osterley,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.5,0.0
Oval,0.125,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0625,0.14583333333333334,0.08333333333333333,0.0
Paddington,0.02325581395348837,0.02325581395348837,0.0,0.0,0.4883720930232558,0.06976744186046513,0.11627906976744184,0.10465116279069768,0.1744186046511628,0.0
Palmers Green,0.0,0.037037037037037035,0.0,0.0,0.5925925925925926,0.07407407407407407,0.037037037037037035,0.2222222222222222,0.037037037037037035,0.0
Park Royal,0.2,0.13333333333333333,0.0,0.0,0.4,0.06666666666666668,0.0,0.06666666666666668,0.13333333333333333,0.0
Parsons Green,0.0,0.0576923076923077,0.0,0.0,0.5769230769230769,0.0576923076923077,0.019230769230769232,0.2692307692307692,0.019230769230769232,1.0
Peckham,0.1,0.05,0.0,0.0,0.4,0.175,0.0,0.125,0.15,1.0
Penge,0.0,0.0,0.0,0.0,0.09090909090909093,0.09090909090909093,0.4545454545454545,0.2727272727272727,0.09090909090909093,0.0
Pentonville,0.1016949152542373,0.01694915254237288,0.0,0.0,0.576271186440678,0.1694915254237288,0.03389830508474576,0.06779661016949153,0.03389830508474576,0.0
Perivale,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
